"DMA","CITY","ST","NETWORK","CALLSIGN","FACIL
ID NO","VIRTUAL CHAN","
DIGITAL CHAN","ANALOG TERMINATION DATE","HRDSHP WVR","NL","SIGNAL & CONSTRUCTION ISSUES","LICENSEE"
"ABILENE-SWEETWATER","ABILENE","TX","NBC","KRBC-TV",306,9,29,5/12/09," ","C","2% LOSS","MISSION BROADCASTING, INC."
"ABILENE-SWEETWATER","ABILENE","TX","CBS","KTAB-TV",59988,32,24,5/12/09," ","C",,"NEXSTAR BROADCASTING, INC."
"ABILENE-SWEETWATER","ABILENE","TX","FOX","KXVA",62293,15,15,"Before 2/17/09",,,,"SAGE BROADCASTING CORPORATION"
"ABILENE-SWEETWATER","SNYDER","TX","IND","KPCB",77452,17,17,"Before 2/17/09",,,,"PRIME TIME CHRISTIAN BROADCASTING, INC"
"ABILENE-SWEETWATER","SWEETWATER","TX","ABC/CW(DIG)","KTXS-TV",308,12,20,6/12/09,,,"2% LOSS","BLUESTONE LICENSE HOLDINGS INC."
"ALBANY","ALBANY","GA","NBC","WALB",70713,10,10,6/12/09,,,"2% LOSS","WALB LICENSE SUBSIDIARY, LLC"
"ALBANY","ALBANY","GA","FOX","WFXL",70815,31,12,6/12/09,,,,"BARRINGTON ALBANY LICENSE LLC"
"ALBANY","CORDELE","GA","IND","WSST-TV",63867,55,51,4/16/09,,,,"SUNBELT-SOUTH TELECOMMUNICATIONS LTD"
"ALBANY","DAWSON","GA","PBS","WACS-TV",23930,25,8,2/17/09,,,,"GEORGIA PUBLIC TELECOMMUNICATIONS COMMISSION"
"ALBANY","PELHAM","GA","PBS","WABW-TV",23917,14,6,2/17/09,,,"2% LOSS","GEORGIA PUBLIC TELECOMMUNICATIONS COMMISSION"
"ALBANY","VALDOSTA","GA","CBS","WSWG",28155,44,43,"Before 2/17/09",,,,"GRAY TELEVISION LICENSEE, LLC"
"ALBANY-SCHENECTADY-TROY","ADAMS","MA","ABC","WCDC-TV",74419,19,36,6/12/09,,,,"YOUNG BROADCASTING OF ALBANY, INC."
"ALBANY-SCHENECTADY-TROY","ALBANY","NY","NBC","WNYT",73363,13,12,6/12/09,,,,"WNYT-TV, LLC"
"ALBANY-SCHENECTADY-TROY","ALBANY","NY","ABC","WTEN",74422,10,26,6/12/09,,,,"YOUNG BROADCASTING OF ALBANY, INC."
"ALBANY-SCHENECTADY-TROY","ALBANY","NY","FOX","WXXA-TV",11970,23,7,6/12/09,,,,"NEWPORT TELEVISION LICENSE LLC"
"ALBANY-SCHENECTADY-TROY","AMSTERDAM","NY","ION","WYPX-TV",13933,55,50,1/1/06,,,,"ION MEDIA ALBANY LICENSE, INC."
"ALBANY-SCHENECTADY-TROY","PITTSFIELD","MA","MYTV","WNYA",136751,51,13,6/12/09,,," ","VENTURE TECHNOLOGIES GROUP, LLC"
"ALBANY-SCHENECTADY-TROY","SCHENECTADY","NY","CW","WCWN",73264,45,43,6/12/09,,,,"FREEDOM BROADCASTING OF NEW YORK LICENSEE, L.L.C."
"ALBANY-SCHENECTADY-TROY","SCHENECTADY","NY","PBS","WMHT",73263,17,34,4/16/09,,"I",,"WMHT EDUCATIONAL TELECOMMUNICATIONS"
"ALBANY-SCHENECTADY-TROY","SCHENECTADY","NY","CBS","WRGB",73942,6,6,6/12/09,,,,"FREEDOM BROADCASTING OF NEW YORK LICENSEE, L.L.C."
"ALBUQUERQUE-SANTA FE","ALBUQUERQUE","NM","CW","KASY-TV",55049,50,45,6/12/09,,"S",,"ACME TELEVISION LICENSES OF NEW MEXICO, LLC"
"ALBUQUERQUE-SANTA FE","ALBUQUERQUE","NM","ETV","KAZQ",1151,32,17,6/12/09,,,,"ALPHA OMEGA BROADCASTING OF ALBUQUERQUE, INC."
"ALBUQUERQUE-SANTA FE","ALBUQUERQUE","NM","UNIVISION","KLUZ-TV",35084,41,42,6/12/09,,,,"ENTRAVISION HOLDINGS, LLC"
"ALBUQUERQUE-SANTA FE","ALBUQUERQUE","NM","TBN","KNAT-TV",993,23,24,4/16/09,,,,"TRINITY BROADCASTING NETWORK"
"ALBUQUERQUE-SANTA FE","ALBUQUERQUE","NM","PBS","KNME-TV",55528,5,35,6/12/09,,,,"RGNTS OF UNIV. OF NM & BD. OF EDUC.OF CITY OF ALBUQ.,NM"
"ALBUQUERQUE-SANTA FE","ALBUQUERQUE","NM","ABC","KOAT-TV",53928,7,7,6/12/09,,,,"KOAT HEARST-ARGYLE TELEVISION, INC."
"ALBUQUERQUE-SANTA FE","ALBUQUERQUE","NM","NBC","KOB",35313,4,26,6/12/09,,"S","2% LOSS","KOB-TV, LLC"
"ALBUQUERQUE-SANTA FE","ALBUQUERQUE","NM","CBS","KRQE",48575,13,13,6/12/09,,,,"LIN OF NEW MEXICO, LLC"
"ALBUQUERQUE-SANTA FE","ALBUQUERQUE","NM","TELEFUTURA","KTFQ-TV",57220,14,22,6/12/09,,,,"TELEFUTURA ALBUQUERQUE LLC"
"ALBUQUERQUE-SANTA FE","CARLSBAD","NM","ABC","KOCT",53908,6,19,6/12/09,,"S","EXT-OPER","KOAT HEARST-ARGYLE TELEVISION, INC."
"ALBUQUERQUE-SANTA FE","CARLSBAD","NM","TELEMUNDO","KTEL-TV",83707,25,25,"Before 2/17/09",,,,"RAMAR COMMUNICATIONS, INC."
"ALBUQUERQUE-SANTA FE","DURANGO","CO","CBS","KREZ-TV",48589,6,15,6/12/09,,,"2% LOSS","LIN OF COLORADO, LLC"
"ALBUQUERQUE-SANTA FE","DURANGO","CO","PBS","KRMU",84224,,20,"DIGITAL ONLY",,,,"ROCKY MOUNTAIN PUBLIC BROADCASTING NETWORK, INC."
"ALBUQUERQUE-SANTA FE","DURANGO","CO","TELEMUNDO","KTLL-TV",82613,33,33,"Before 2/17/09",,,,"RAMAR COMMUNICATIONS, INC."
"ALBUQUERQUE-SANTA FE","FARMINGTON","NM","NBC","KOBF",35321,12,12,2/17/09,,,,"KOB-TV, LLC                     "
"ALBUQUERQUE-SANTA FE","HOBBS","NM","MYTV","KUPT",27431,29,29,"Before 2/17/09",,,,"RAMAR COMMUNICATIONS, INC."
"ALBUQUERQUE-SANTA FE","ROSWELL","NM","CBS","KBIM-TV",48556,10,10,6/12/09,,,,"LIN OF NEW MEXICO, LLC"
"ALBUQUERQUE-SANTA FE","ROSWELL","NM","NBC","KOBR",62272,8,8,6/12/09,,,,"KOB-TV, LLC"
"ALBUQUERQUE-SANTA FE","ROSWELL","NM","IND","KRPV",53539,27,27,"Before 2/17/09",,,,"PRIME TIME CHRISTIAN BROADCASTING, INC"
"ALBUQUERQUE-SANTA FE","ROSWELL","NM","CW","KRWB-TV",84157,21,21,6/12/09,,,,"ACME TELEVISION LICENSES OF NEW MEXICO, LLC"
"ALBUQUERQUE-SANTA FE","SANTA FE","NM","FOX","KASA-TV",32311,2,27,6/12/09,,,"2% LOSS","LIN OF NEW MEXICO, LLC"
"ALBUQUERQUE-SANTA FE","SANTA FE","NM","IND","KCHF",60793,11,10,6/12/09,,,,"SON BROADCASTING, INC."
"ALBUQUERQUE-SANTA FE","SANTA FE","NM","PBS","KNMD-TV",84215,,9,"DIGITAL ONLY",,,,"THE REGENTS OF THE UNIVERSITY"
"ALBUQUERQUE-SANTA FE","SANTA FE","NM","CW","KWBQ",76268,19,29,6/12/09,,"S",,"ACME TELEVISION LICENSES OF NEW MEXICO, LLC"
"ALBUQUERQUE-SANTA FE","SILVER CITY","NM","NBC","KOBG-TV",85114,6,12,6/12/09,,,"EXT-OPER","KOB-TV, LLC"
"ALBUQUERQUE-SANTA FE","SILVER CITY","NM","ABC","KOVT",53911,10,10,6/12/09,,,,"KOAT HEARST-ARGYLE TELEVISION, INC."
"ALEXANDRIA","ALEXANDRIA","LA","NBC/CBS","KALB-TV",51598,5,35,2/17/09,,,"2% LOSS","HOAK MEDIA OF ALEXANDRIA LICENSE, LLC"
"ALEXANDRIA","ALEXANDRIA","LA","CW","KBCA",16940,41,41,6/12/09,,,,"WILDERNESS COMMUNICATIONS, LLC"
"ALEXANDRIA","ALEXANDRIA","LA","ABC","KLAX-TV",52907,31,31,6/12/09,,,,"POLLACK/BELZ COMMUNICATION COMPANY, INC"
"ALEXANDRIA","ALEXANDRIA","LA","PBS","KLPA-TV",38590,25,26,6/12/09,,,,"LOUISIANA EDUCATIONAL TELEVISION AUTHORITY"
"ALEXANDRIA","NATCHEZ","MS","FOX","WNTZ",16539,48,49,2/17/09,,,,"COMCORP OF ALEXANDRIA LICENSE CORP."
"ALPENA","ALPENA","MI","CBS","WBKB-TV",67048,11,11,6/12/09,,,"EXT-DARK","THUNDER BAY BROADCASTING CORPORATION."
"ALPENA","ALPENA","MI","PBS","WCML",9917,6,24,3/31/09,,,"2% LOSS","CENTRAL MICHIGAN UNIVERSITY"
"AMARILLO","AMARILLO","TX","PBS","KACV-TV",1236,2,8,2/17/09,,,"2% LOSS","AMARILLO JUNIOR COLLEGE DISTRICT"
"AMARILLO","AMARILLO","TX","NBC","KAMR-TV",8523,4,19,6/12/09,,,"2% LOSS","NEXSTAR BROADCASTING, INC."
"AMARILLO","AMARILLO","TX","FOX","KCIT",33722,14,15,6/12/09,,,,"MISSION BROADCASTING, INC."
"AMARILLO","AMARILLO","TX","CBS","KFDA-TV",51466,10,10,6/12/09,,,,"PANHANDLE TELECASTING LP"
"AMARILLO","AMARILLO","TX","CBS","KVII-TV",40446,7,7,6/12/09,,,,"BARRINGTON AMARILLO LICENSE LLC"
"AMARILLO","BORGER","TX","UNIVISION","KEYU",83715,31,31,"DIGITAL ONLY",,,,"BORGER BROADCASTING, INC."
"AMARILLO","CLOVIS","NM","CBS","KVIH-TV",40450,12,12,"Before 2/17/09",,,"EXT-OPER","BARRINGTON AMARILLO LICENSE LLC"
"AMARILLO","FARWELL","TX","IND","KPTF",81445,18,18,6/12/09,,,,"PRIME TIME CHRISTIAN BROADCASTING, INC"
"AMARILLO","PORTALES","NM","PBS","KENW",18338,3,32,2/17/09,,,"2% LOSS","EASTERN NEW MEXICO UNIVERSITY"
"ANCHORAGE","ANCHORAGE","AK","PBS","KAKM",804,7,8,6/12/09,,,,"ALASKA PUBLIC TELECOMMUNICATIONS, INC"
"ANCHORAGE","ANCHORAGE","AK","IND","KDMD",25221,33,32,6/12/2009,,,"2% LOSS","KETCHIKAN TV, LLC"
"ANCHORAGE","ANCHORAGE","AK","ABC","KIMO",13815,13,12,6/12/09,,,"PHASED TRAN","SMITH MEDIA LICENSE HOLDINGS, LLC"
"ANCHORAGE","ANCHORAGE","AK","FOX","KTBY",35655,4,20,6/12/2009,,,"2% LOSS/PHSD TRAN","COASTAL TELEVISION BROADCASTING COMPANY LLC"
"ANCHORAGE","ANCHORAGE","AK","NBC","KTUU-TV",10173,2,10,6/12/09,,"S",,"NORTHERN LIGHTS MEDIA, INC."
